States with statewide plastic bag laws,State with a de facto statewide plastic bag ban,States with local plastic bag ordinances,States with preemptions on local plastic bag ordinances,State with preemption and local plastic bag ordinances,States with no statutes
Maine,Hawaii,Massachusetts,Idaho,Minnesota,Nevada
Vermont,,Rhode Island,Montana,,Kentucky
New York,,Maryland,North Dakota,,New Hampshire
New Jersey,,South Carolina,South Dakota,,North Carolina
Connecticut,,Illinois,Arizona,,Alabama
Delaware,,New Mexico,Oklahoma,,Kansas
Oregon,,Utah,Texas,,Louisiana
Colorado,,Wyoming,Iowa,,Nebraska
California,,Alaska,Missouri,,
Washington,,Georgia,Arkansas,,
,,Pennsylvania,Mississippi,,
,,Virginia,Tennessee,,
,, ,Indiana,,
,,,Michigan,,
,,,Ohio,,
,,,Florida,,
,,,Wisconsin,,
,,,West Virginia,,
